Time,VS_CS_Erlang_RNC,VS_CSLoad_Erlang_Equiv_RNC,VS_PSLoad_Thruput_RNC,VS_R99PSLoad_DLThruput_RNC,VS_R99PSLoad_ULThruput_RNC,VS_HSDPAPSLoad_DLThruput_RNC,VS_HSUPAPSLoad_ULThruput_RNC,VS_RB_AMR_DL_RNC_custom,VS_RB_CS_Conv_DL_64_RNC
2014-08-01 15:00:00,324.458,833.994,149414.108,124.347,2176.664,126697.333,20410.722,650.336,0.242
2014-08-01 15:30:00,327.576,843.853,147979.644,148.247,2025.906,125205.633,20594.914,656.800,0.025
2014-08-01 16:00:00,353.833,907.014,155396.833,164.242,2260.792,131583.103,21383.589,694.586,0.042
2014-08-01 16:30:00,339.453,904.908,157718.567,179.047,2453.281,132532.967,22548.072,694.889,0.019
2014-08-01 17:00:00,366.570,956.197,166858.400,131.972,2628.361,140474.242,23618.769,729.975,0.028
2014-08-01 17:30:00,391.310,1010.153,158917.281,177.469,2902.903,133844.886,21986.822,776.658,0.008
2014-08-01 18:00:00,377.709,984.697,157915.506,201.142,3209.981,132986.592,21512.561,751.853,0.014
2014-08-01 18:30:00,322.758,864.939,154499.106,154.206,2633.839,130284.278,21421.742,654.594,0.003
2014-08-01 19:00:00,292.727,786.825,139940.019,80.403,1629.794,119370.175,18854.697,593.753,0.003
2014-08-01 19:30:00,290.506,786.172,127147.050,101.203,1673.236,107480.006,17887.736,592.581,0.006
2014-08-01 20:00:00,291.581,802.247,123287.208,122.192,1473.714,104610.597,17075.756,601.589,0.011
2014-08-01 20:30:00,289.501,784.094,125034.022,20.864,1078.169,107351.314,16578.856,597.906,0.000
2014-08-01 21:00:00,280.046,731.361,122758.511,44.047,1258.108,104907.689,16543.961,550.372,0.000
2014-08-01 21:30:00,251.177,671.161,121344.097,25.581,1132.781,104348.867,15832.067,505.928,0.019
2014-08-01 22:00:00,237.776,613.986,125170.650,41.186,1373.181,107457.178,16294.322,457.381,0.044
2014-08-01 22:30:00,177.728,471.939,123774.000,33.303,1166.322,107346.825,15222.753,357.425,0.003
2014-08-01 23:00:00,133.745,342.344,128681.422,31.922,1148.878,111853.464,15642.617,257.269,0.011
2014-08-01 23:30:00,98.017,245.664,125862.925,10.797,928.769,110721.886,14196.892,178.383,0.000
2014-08-02 00:00:00,78.305,182.689,106255.042,6.458,645.794,92705.708,12892.661,135.728,0.000
2014-08-02 00:30:00,53.106,110.958,85421.664,4.678,360.578,76441.697,8610.111,85.942,0.003
2014-08-02 01:00:00,33.761,68.831,71636.222,10.681,221.011,64049.494,7350.553,54.114,0.000
2014-08-02 01:30:00,17.176,53.747,60866.475,5.986,217.689,54793.672,5844.692,41.228,0.000
2014-08-02 02:00:00,21.739,44.036,48362.178,5.583,164.678,43340.631,4847.586,33.278,0.000
2014-08-02 02:30:00,16.969,31.622,46057.425,7.047,126.478,42009.794,3910.539,22.822,0.003
2014-08-02 03:00:00,7.458,19.058,35944.208,14.689,155.619,32768.517,3001.619,13.064,0.000
2014-08-02 03:30:00,5.204,10.983,28842.619,1.164,128.886,26083.128,2625.803,9.008,0.000
2014-08-02 04:00:00,5.122,11.267,23470.006,13.025,80.961,21177.917,2194.669,8.164,0.000
2014-08-02 04:30:00,2.729,8.931,24392.956,11.739,63.058,21910.619,2404.003,6.675,0.000
2014-08-02 05:00:00,6.385,15.481,29416.378,1.258,65.100,26563.547,2782.953,11.194,0.000
2014-08-02 05:30:00,8.336,24.367,39394.922,1.125,86.919,35597.083,3706.406,17.969,0.000
2014-08-02 06:00:00,16.740,46.375,52267.692,4.900,129.989,46796.508,5332.047,35.169,0.003
2014-08-02 06:30:00,29.987,88.169,64041.650,14.675,174.769,56735.053,7112.550,64.628,0.000
2014-08-02 07:00:00,52.954,147.064,81515.025,38.047,385.369,71788.775,9298.222,108.847,0.003
2014-08-02 07:30:00,77.250,219.947,98618.094,24.139,520.564,86927.092,11141.606,161.653,0.000
2014-08-02 08:00:00,119.391,327.675,95334.772,26.567,782.264,81695.625,12825.447,243.428,0.011
2014-08-02 08:30:00,164.074,456.714,105903.497,28.964,1058.375,90701.453,14109.842,341.378,0.003
2014-08-02 09:00:00,208.104,573.372,110775.436,35.042,1038.983,94066.522,15630.075,429.519,0.000
2014-08-02 09:30:00,241.036,658.297,124171.869,84.553,1263.886,105023.789,17794.589,495.411,0.003
2014-08-02 10:00:00,261.489,703.439,132378.647,118.833,1338.708,112531.881,18384.256,532.547,0.006
2014-08-02 10:30:00,278.235,725.678,133655.381,79.911,1178.578,114454.850,17937.064,548.050,0.003
2014-08-02 11:00:00,278.711,734.550,138387.269,46.308,1425.119,118348.633,18562.225,557.142,0.003
2014-08-02 11:30:00,262.678,700.739,148363.953,51.994,1467.381,127926.575,18913.139,524.825,0.000
2014-08-02 12:00:00,248.299,637.450,149905.522,49.261,1984.983,127758.064,20108.214,486.944,0.003
2014-08-02 12:30:00,215.556,576.700,144372.639,37.386,1766.950,123237.217,19326.194,440.850,0.025
2014-08-02 13:00:00,212.071,539.283,147049.542,48.494,1651.219,127271.422,18073.433,412.925,0.006
2014-08-02 13:30:00,199.610,524.128,143667.906,191.006,1319.844,124001.867,18150.172,398.739,0.000
2014-08-02 14:00:00,205.986,548.508,141203.933,256.372,1360.058,121997.397,17585.253,414.022,0.031
2014-08-02 14:30:00,206.370,559.064,138899.658,24.314,1427.350,119016.275,18426.947,421.214,0.000
2014-08-02 15:00:00,214.424,566.172,128869.247,30.814,1253.972,110032.192,17547.472,429.192,0.011
2014-08-02 15:30:00,213.023,571.417,117892.617,23.486,1044.256,100421.789,16398.172,429.411,0.003
2014-08-02 16:00:00,237.275,615.319,119710.219,40.864,1271.744,101912.175,16480.458,470.178,0.000
2014-08-02 16:30:00,232.660,620.667,120415.867,117.333,1244.450,102091.008,16958.139,470.314,0.003
2014-08-02 17:00:00,253.342,676.192,119827.578,29.922,1284.556,102088.131,16419.972,504.139,0.058
2014-08-02 17:30:00,253.956,687.939,122473.933,46.617,1400.119,104697.750,16324.461,513.092,0.003
2014-08-02 18:00:00,247.797,657.383,124836.606,90.714,1341.900,106027.761,17371.342,490.675,0.003
2014-08-02 18:30:00,218.428,609.392,119460.911,74.247,1201.494,101303.636,16876.747,453.103,0.006
2014-08-02 19:00:00,220.683,591.356,112692.431,110.342,1109.525,94755.939,16711.675,444.722,0.008
2014-08-02 19:30:00,232.764,634.244,117199.592,157.058,1117.881,100054.414,15865.403,475.661,0.003
2014-08-02 20:00:00,234.597,653.519,109611.033,171.739,1000.806,93473.836,14959.628,491.681,0.006
2014-08-02 20:30:00,245.895,675.742,107293.544,147.806,907.617,91324.575,14908.822,506.503,0.000
2014-08-02 21:00:00,247.301,651.678,112532.894,25.489,919.964,95670.189,15912.581,486.469,0.000
2014-08-02 21:30:00,216.812,567.925,112276.194,35.714,978.908,95663.850,15592.794,436.136,0.003
2014-08-02 22:00:00,189.558,515.953,105921.972,52.639,1124.256,89386.050,15354.219,387.917,0.000
2014-08-02 22:30:00,164.126,427.928,106963.506,64.497,1138.236,91143.031,14612.967,323.022,0.003
2014-08-02 23:00:00,134.185,329.853,113960.719,22.619,893.383,99000.894,14039.056,257.353,0.000
2014-08-02 23:30:00,88.290,230.942,108972.578,13.367,660.433,94694.444,13599.708,180.714,0.000
2014-08-03 00:00:00,74.156,161.389,92683.822,8.386,461.203,81708.469,10501.211,122.533,0.000
2014-08-03 00:30:00,49.428,104.619,70363.825,5.250,292.236,61542.978,8518.731,77.736,0.000
2014-08-03 01:00:00,34.831,76.353,68984.278,7.583,140.075,59749.450,9082.614,55.844,0.000
2014-08-03 01:30:00,28.682,48.600,60287.761,5.525,122.064,52703.617,7452.072,35.331,0.000
2014-08-03 02:00:00,10.073,30.750,44784.625,0.539,126.219,39689.631,4964.581,23.639,0.000
2014-08-03 02:30:00,10.330,19.589,40197.619,0.300,97.119,36079.628,4016.942,14.883,0.000
2014-08-03 03:00:00,7.300,16.647,29239.806,0.764,50.711,25635.142,3549.400,12.858,0.000
2014-08-03 03:30:00,6.133,12.906,23476.489,1.583,47.883,20920.764,2502.553,10.294,0.000
2014-08-03 04:00:00,5.558,14.897,21067.322,0.656,48.289,18668.825,2345.894,10.794,0.000
2014-08-03 04:30:00,5.277,10.878,15490.325,0.747,52.267,13409.353,2024.350,8.619,0.000
2014-08-03 05:00:00,4.421,13.628,16430.486,0.872,51.633,14185.839,2188.492,9.686,0.000
2014-08-03 05:30:00,8.552,22.956,24306.783,2.017,64.783,21450.328,2786.033,16.825,0.000
2014-08-03 06:00:00,13.497,38.706,34400.817,5.811,100.931,30341.272,3948.397,28.906,0.000
2014-08-03 06:30:00,23.192,66.847,47902.442,10.733,134.492,42495.783,5256.947,50.172,0.000
